Hauptbuch,Endsaldo
46099    ,3670.51
60099    ,44612.3
64099    ,870.9999999999999
798000   ,614.1999999999999
547000   ,2728.4499999999985
400600   ,2915539.4900000016
400800   ,34897020.64000002
290000   ,3578284.6999999634
500300   ,10947204.910000004
549100   ,1757087.9999999981
500100   ,21733681.360000048
507200   ,1522187.4999999993
330250   ,1522187.4999999993
787100   ,32254.680000000033
500200   ,16803983.719999976
315300   ,465771.8399999999
626300   ,323949.3500000001
400900   ,47046476.040000394
200900   ,9111424.12
400700   ,3743528.159999993
 Miete pro Monat                      ,5088.530000000003
 Fleetmanager         ,12.0
 KoSt. 5020               ,1413.84
 KoSt. 502               ,5662.87
 KoSt. 5020800101                ,279.12
488000   ,11986.4
409000   ,3555029.999999999
523500   ,40530.72
524500   ,120.05
407000   ,110091973.54999992
423300   ,28150.019999999997
570000   ,2789.809999999999
794000   ,34089.67999999998
212010   ,493204.45999999996
629300   ,211705.0
 KoSt. 5020400801                ,291.66
724000   ,1165.4
390000   ,173606.78000000003
241200   ,196628.42999999996
620100   ,3355.0
794010   ,39669.580000000016
311202   ,36266.490000000005
626003   ,59795.87000000001
791000   ,2152383.4199999995
661000   ,56097.979999999996
960000   ,4691903.78
970000   ,4691903.78
487000   ,17617.15
10000    ,26502.0
372400   ,4316.25
840500   ,3144.03
841200   ,9128.609999999999
841300   ,0.52
490400   ,25.36
240109   ,108406.02
340129   ,108406.02
626400   ,141822.49
500110   ,7025552.400000016
713000   ,266.63
579000   ,175.4
70000    ,57728.2
46000    ,39664.67
490200   ,113.73
523200   ,872.6200000000001
556000   ,1032.0
99010    ,1561.0199999999998
772100   ,780.51
489400   ,140443.76
290600   ,199.56
45000    ,3775.32
 Miete pro Monat ,7.0
400610   ,558497.0900000002
489410   ,11949.07
731410   ,57830.26000000006
400000   ,28795.67
504200   ,9390.7
503300   ,243985.96999999997
35500    ,57184.6
489500   ,47108.65
662000   ,159.54
504300   ,52025.7
650100   ,47400.0
60000    ,96000.0
786000   ,1222.56
781100   ,15404.140000000001
523000   ,68.58
500310   ,68395.99
230119   ,23978.78
340229   ,23978.78
491000   ,600.0
464000   ,3846.16
523810   ,12040.479999999998
423310   ,1766603.2799999893
616000   ,8000.0
200600   ,69966673.24999997
330200   ,48117675.299999945
854000   ,42243.0
314000   ,42243.0
852000   ,39779.83
313000   ,39779.83
200602   ,5387661.449999997
407010   ,38848.95
200610   ,38848.95
507010   ,3442739.5899999985
330210   ,3442739.5899999985
770300   ,467473.0899999998
500120   ,1044732.6599999997
731110   ,202.7
549110   ,4442619.550000002
628010   ,1556.7199999999998
570010   ,907.54
775010   ,5429.25
759010   ,1738.1899999999998
787110   ,12445.42
673010   ,217.65
537500   ,100.5
543010   ,144970.17
579010   ,20015.0
727010   ,1988.65
519010   ,1277.31
670010   ,1104.37
503200   ,13892.82
542010   ,1336.94
725010   ,399.58
771010   ,1690.8400000000001
763010   ,41.28
750010   ,65.6
432200   ,226412.36
488010   ,990.0
467900   ,312.9
473110   ,426.99999999999994
400810   ,1979.08
409010   ,899.69
404700   ,7599.5
403700   ,292762.09
478000   ,246.0
465110   ,60.0
400620   ,2730.28
423910   ,4451.76
427010   ,31615.18
